STATE,Runoff,Precip,ET,SoilMoisture
-1,573.426050139,981.645795704,456.392954739,4414.78005301
1,469.651032051,1179.19779259,755.706639274,1966.83723156
4,22.2097293974,392.287698439,295.221550919,2704.71280161
5,350.783789481,1155.54392425,793.640492187,3630.14525753
6,278.175206296,638.416264717,372.457279769,2974.13531027
8,64.2689028248,463.203333071,390.302231482,3443.21725116
9,512.023757755,1171.94786664,669.837331974,2411.12705653
10,493.002579228,1287.2984501,831.741911857,2473.71613533
11,714.409057617,1296.59375,607.020996094,3018.00024414
12,406.735140989,1414.94430312,995.109905567,1473.0245257
13,471.011756109,1270.17225707,791.902721174,1733.57454713
16,241.193653422,630.091630444,490.699715505,4441.87728364
17,177.898452473,905.302791337,694.484389595,4746.49876486
18,198.145139622,865.115161751,669.772468277,3351.64414785
19,101.427615289,831.485864355,661.82401714,4158.68191
20,48.6345193627,625.988901854,547.970241973,3096.70343608
21,269.865861572,965.655421691,730.910865616,3430.85007549
22,342.083554214,1309.5495518,999.053810462,3783.85098952
23,488.743649063,1206.79017992,674.968722663,2649.77817637
24,514.143339864,1254.55592226,759.078852278,2732.79044779
25,483.384473063,1099.46976196,621.720188395,2435.83865153
26,174.106687706,766.384501063,568.984491908,2524.66888143
27,92.0250227395,641.806680832,559.295202196,3724.67195477
28,440.599070124,1167.94283591,759.376295427,2452.35183933
29,243.629979777,1046.46972342,764.20865659,3292.76421166
30,149.86464929,526.94964748,454.950283797,3594.31051887
31,27.2170786264,491.190433597,477.652946039,1696.51499381
32,29.7379793614,301.470510584,271.06308302,2483.95245516
33,420.854645678,1081.29648315,668.806712134,2357.4845953
34,508.024255279,1195.15462821,738.097871938,2524.806011
35,18.1764403195,321.574951723,275.532844811,2596.50773139
36,352.296292724,981.41800196,638.709549641,2828.91560274
37,613.72098887,1405.6307754,776.798042135,2112.96742201
38,63.5222333106,474.475464133,451.672610746,2201.82912293
39,167.939250097,801.744392026,620.244951304,3194.98257231
40,98.0108752267,734.180663797,666.76605828,3764.69085598
41,453.486753838,850.559747975,497.969454862,5350.64809717
42,344.438336919,981.951260071,647.784700184,2936.02401992
44,576.061474609,1207.58365885,621.11628418,2451.73331706
45,507.651700498,1369.76463383,824.620376432,1717.0198784
46,43.0723684782,541.154318095,493.769613823,2648.31971159
47,390.573640009,1131.41918088,761.191165782,3398.8107424
48,82.8608681684,569.964006059,512.732465506,3482.13887422
49,44.6690283533,354.862307526,306.406750654,3042.50670343
50,339.286446198,1047.16857553,716.093648275,2759.02808617
51,555.825960126,1279.79756673,711.277958028,2516.819889
53,773.468956055,1106.9499242,456.275993634,6102.33371718
54,289.61669168,1043.45511032,732.81305456,3256.07160516
55,155.170566442,752.583715167,562.759296844,3264.99101763
56,110.296333879,443.987006758,386.009397277,2902.0152329
